unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1592503200,18/6/2020 18:00,ETH/USD,231.66,231.8,230.74,231.12,154484.95,668.64
1592499600,18/6/2020 17:00,ETH/USD,231.75,232.13,231.05,231.66,85126.85,367.6
1592496000,18/6/2020 16:00,ETH/USD,231.03,231.75,230.78,231.75,127877.53,553.4
1592492400,18/6/2020 15:00,ETH/USD,232.37,232.61,230.89,231.03,423816.12,1831.68
1592488800,18/6/2020 14:00,ETH/USD,231.58,232.62,230.53,232.37,193554.59,835.85
1592485200,18/6/2020 13:00,ETH/USD,232.8,232.87,230.97,231.58,312639.54,1348.21
1592481600,18/6/2020 12:00,ETH/USD,233.04,233.27,232.59,232.8,231330.67,993.18
1592478000,18/6/2020 11:00,ETH/USD,233.37,233.56,232.82,233.04,78831.28,337.96
1592474400,18/6/2020 10:00,ETH/USD,232.52,233.43,232,233.37,352579.47,1516.15
1592470800,18/6/2020 9:00,ETH/USD,232.88,233.98,232.31,232.52,372326.36,1595.56
1592467200,18/6/2020 8:00,ETH/USD,233.38,233.76,232.86,232.88,82085.16,351.86
1592463600,18/6/2020 7:00,ETH/USD,232.9,233.75,232.87,233.38,89792.23,384.94
1592460000,18/6/2020 6:00,ETH/USD,232.78,233.51,232.16,232.9,122221.19,524.7
1592456400,18/6/2020 5:00,ETH/USD,232.64,233.01,232.34,232.78,94951.04,408
1592452800,18/6/2020 4:00,ETH/USD,233.3,233.45,232.54,232.64,85974.5,368.97
1592449200,18/6/2020 3:00,ETH/USD,233.1,233.83,233.02,233.3,93917.49,402.34
1592445600,18/6/2020 2:00,ETH/USD,233.44,233.52,232.67,233.1,146953.51,630.34
1592442000,18/6/2020 1:00,ETH/USD,233.17,234.48,232.94,233.44,140785.64,602.63
1592438400,18/6/2020 0:00,ETH/USD,233.62,233.68,232.74,233.17,149381.24,640.51
1592434800,17/6/2020 23:00,ETH/USD,232.39,234.22,232.29,233.62,251279.44,1077.65
1592431200,17/6/2020 22:00,ETH/USD,232.14,232.86,231.42,232.39,379674.12,1635.77
1592427600,17/6/2020 21:00,ETH/USD,231.12,232.81,230.99,232.14,358785.78,1546.27
1592424000,17/6/2020 20:00,ETH/USD,229.11,231.48,227.56,231.12,874358.94,3810.19
1592420400,17/6/2020 19:00,ETH/USD,231.7,231.7,229.11,229.11,431377.88,1870.84
1592416800,17/6/2020 18:00,ETH/USD,231.6,232.42,231.48,231.7,100101.66,431.64
1592413200,17/6/2020 17:00,ETH/USD,230.69,232.22,230.65,231.6,85908.07,370.74
1592409600,17/6/2020 16:00,ETH/USD,230.98,232.03,230.07,230.69,370066.95,1603.77
1592406000,17/6/2020 15:00,ETH/USD,231.99,232.88,230.98,230.98,541409.6,2330.62
1592402400,17/6/2020 14:00,ETH/USD,233.11,233.47,230.67,231.99,862977.65,3721.6
1592398800,17/6/2020 13:00,ETH/USD,234.07,237.42,232.77,233.11,1295590.2,5517.64
1592395200,17/6/2020 12:00,ETH/USD,233.46,235.29,233.46,234.07,474980.8,2027.11
1592391600,17/6/2020 11:00,ETH/USD,233.46,234.31,233.21,233.46,110071.01,470.81
1592388000,17/6/2020 10:00,ETH/USD,233.34,233.97,233.34,233.46,61511.83,263.22
1592384400,17/6/2020 9:00,ETH/USD,233.91,234.09,233.19,233.34,89730.84,383.96
1592380800,17/6/2020 8:00,ETH/USD,234.73,234.74,233.88,233.91,134237.17,573.01
1592377200,17/6/2020 7:00,ETH/USD,234.15,235.16,234.15,234.73,368896.22,1571.43
